﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Type;Medie;Vandområde;Dataejer;Ansvarlig Myndighed;Link;Dato;Måling nr;Undersøgelsestype;Målested type;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetype;Status;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Kvantifikationsgrænse;Detektionsgrænse;Kvalitetsmærke
Renseanlæg;6C2A0209-2B8C-46B4-BA31-0DC1FE232C37;Svaneke Renseanlæg;32;891540,9996375428;6125519,999413203;Bornholm;Region Hovedstaden;Renseanlæg;Renseanlæg;Østersøen;BORNHOLMS SPILDEVAND A/S;Bornholms Regionskommune;https://puls.miljoeportal.dk/wwtps/6c2a0209-2b8c-46b4-ba31-0dc1fe232c37/examination-details/505ebecc-1389-4f4d-b492-eb6daa4d7d29;11-08-2024;1485869727;;Indløb;Svaneke Renseanlæg Tilløb;32;891540,9996375428;6125519,999413203;Mængdeproportional prøve;Afventer kontrol;Total;;174;BI5;;200;mg/l;;0,5;1
Renseanlæg;6C2A0209-2B8C-46B4-BA31-0DC1FE232C37;Svaneke Renseanlæg;32;891540,9996375428;6125519,999413203;Bornholm;Region Hovedstaden;Renseanlæg;Renseanlæg;Østersøen;BORNHOLMS SPILDEVAND A/S;Bornholms Regionskommune;https://puls.miljoeportal.dk/wwtps/6c2a0209-2b8c-46b4-ba31-0dc1fe232c37/examination-details/80823128-b9ec-4bf6-9a9e-70a630c90575;11-08-2024;2146713851;;Udløb;Svaneke Renseanlæg Afløb;32;891790,999635821;6124957,999411327;Mængdeproportional prøve;Afventer kontrol;Total;;253;Nitrogen, total N;;2,1;mg/l;;0,05;1
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/96dbe16a-e317-40bc-80af-de19cef68ea9;16-08-2024;288192825;;Udløb;Renseanlæg Damhusåen Udløb;32;729478,8360567442;6177669,138315211;Mængdeproportional prøve;Godkendt;Opløst - filtrat fra filtrering;;183;Kemisk iltforbrug;;26;mg/l;;5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/3149e9cf-56ec-41d2-a1a7-3658391178df;16-08-2024;1449910984;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;176;BI5 modificeret ;;230;mg/l;;0,5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/a5bb2e18-3319-4084-8991-8c389eaeb3d7;24-08-2024;1394217234;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Afventer kontrol;Total;;261;Phosphor, total-P;;8,4;mg/l;;0,01;1
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/fb348831-1e56-41c3-a967-a75d63252d62;01-08-2024;1721066954;;Udløb;Renseanlæg Damhusåen Udløb;32;729478,8360567442;6177669,138315211;Mængdeproportional prøve;Godkendt;Total;;176;BI5 modificeret ;;1,5;mg/l;;0,5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/f3fc2e1f-83e4-48a6-b4fd-260fed03974a;09-08-2024;1851527960;;Udløb;Renseanlæg Damhusåen Udløb;32;729478,8360567442;6177669,138315211;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;7,7;mg/l;;0,05;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/3149e9cf-56ec-41d2-a1a7-3658391178df;16-08-2024;1449910984;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;7,3;mg/l;;0,01;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/3149e9cf-56ec-41d2-a1a7-3658391178df;16-08-2024;1449910984;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Opløst - filtrat fra filtrering;;183;Kemisk iltforbrug;;82;mg/l;;5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/653a7bfe-1263-4c11-8e23-d65422b5a99e;09-08-2024;1458945109;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;176;BI5 modificeret ;;130;mg/l;;0,5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/55f02c97-2b38-4e68-bbb2-0d15c6dd0cf9;01-08-2024;1369379061;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;7,5;mg/l;;0,01;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/fb348831-1e56-41c3-a967-a75d63252d62;01-08-2024;1721066954;;Udløb;Renseanlæg Damhusåen Udløb;32;729478,8360567442;6177669,138315211;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;0,2;mg/l;;0,01;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/3149e9cf-56ec-41d2-a1a7-3658391178df;16-08-2024;1449910984;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;50;mg/l;;0,05;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/a5bb2e18-3319-4084-8991-8c389eaeb3d7;24-08-2024;1394217234;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Afventer kontrol;Total;;176;BI5 modificeret ;;310;mg/l;;0,5;1
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/fb348831-1e56-41c3-a967-a75d63252d62;01-08-2024;1721066954;;Udløb;Renseanlæg Damhusåen Udløb;32;729478,8360567442;6177669,138315211;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;3,4;mg/l;;0,05;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/653a7bfe-1263-4c11-8e23-d65422b5a99e;09-08-2024;1458945109;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;27;mg/l;;0,05;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/3149e9cf-56ec-41d2-a1a7-3658391178df;16-08-2024;1449910984;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;530;mg/l;;5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/55f02c97-2b38-4e68-bbb2-0d15c6dd0cf9;01-08-2024;1369379061;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Opløst - filtrat fra filtrering;;183;Kemisk iltforbrug;;96;mg/l;;5;2
Renseanlæg;8B6C3E21-8EA3-462D-8D3B-080D9F38894D;HCRSyd - Slåenbækken, Solrødgård;32;705025,3318529982;6199980,319069645;Hillerød;Region Hovedstaden;Renseanlæg;Renseanlæg;Slåenbækken;HILLERØD SPILDEVAND A/S;Hillerød kommune;https://puls.miljoeportal.dk/wwtps/8b6c3e21-8ea3-462d-8d3b-080d9f38894d/examination-details/15f1a896-2d59-432f-8a14-f6a6477513b9;08-08-2024;2093136699;;Udløb;HCRSyd - Slåenbækken Udløb;32;704685,9999985459;6199950,000126629;Flowproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;0,083;mg/l;;0,01;2
Renseanlæg;8B6C3E21-8EA3-462D-8D3B-080D9F38894D;HCRSyd - Slåenbækken, Solrødgård;32;705025,3318529982;6199980,319069645;Hillerød;Region Hovedstaden;Renseanlæg;Renseanlæg;Slåenbækken;HILLERØD SPILDEVAND A/S;Hillerød kommune;https://puls.miljoeportal.dk/wwtps/8b6c3e21-8ea3-462d-8d3b-080d9f38894d/examination-details/15f1a896-2d59-432f-8a14-f6a6477513b9;08-08-2024;2093136699;;Udløb;HCRSyd - Slåenbækken Udløb;32;704685,9999985459;6199950,000126629;Flowproportional prøve;Godkendt;Total;;32;Suspenderede stoffer;<;2;mg/l;;2;2
Renseanlæg;8B6C3E21-8EA3-462D-8D3B-080D9F38894D;HCRSyd - Slåenbækken, Solrødgård;32;705025,3318529982;6199980,319069645;Hillerød;Region Hovedstaden;Renseanlæg;Renseanlæg;Slåenbækken;HILLERØD SPILDEVAND A/S;Hillerød kommune;https://puls.miljoeportal.dk/wwtps/8b6c3e21-8ea3-462d-8d3b-080d9f38894d/examination-details/15f1a896-2d59-432f-8a14-f6a6477513b9;08-08-2024;2093136699;;Udløb;HCRSyd - Slåenbækken Udløb;32;704685,9999985459;6199950,000126629;Flowproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;35;mg/l;;3;2
Renseanlæg;8B6C3E21-8EA3-462D-8D3B-080D9F38894D;HCRSyd - Slåenbækken, Solrødgård;32;705025,3318529982;6199980,319069645;Hillerød;Region Hovedstaden;Renseanlæg;Renseanlæg;Slåenbækken;HILLERØD SPILDEVAND A/S;Hillerød kommune;https://puls.miljoeportal.dk/wwtps/8b6c3e21-8ea3-462d-8d3b-080d9f38894d/examination-details/15f1a896-2d59-432f-8a14-f6a6477513b9;08-08-2024;2093136699;;Udløb;HCRSyd - Slåenbækken Udløb;32;704685,9999985459;6199950,000126629;Flowproportional prøve;Godkendt;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N;;1,5;mg/l;;0,1;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/96dbe16a-e317-40bc-80af-de19cef68ea9;16-08-2024;288192825;;Udløb;Renseanlæg Damhusåen Udløb;32;729478,8360567442;6177669,138315211;Mængdeproportional prøve;Godkendt;Total;;176;BI5 modificeret ;;1,6;mg/l;;0,5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/653a7bfe-1263-4c11-8e23-d65422b5a99e;09-08-2024;1458945109;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;4,4;mg/l;;0,01;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/96dbe16a-e317-40bc-80af-de19cef68ea9;16-08-2024;288192825;;Udløb;Renseanlæg Damhusåen Udløb;32;729478,8360567442;6177669,138315211;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;0,23;mg/l;;0,01;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/653a7bfe-1263-4c11-8e23-d65422b5a99e;09-08-2024;1458945109;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;380;mg/l;;5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/653a7bfe-1263-4c11-8e23-d65422b5a99e;09-08-2024;1458945109;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Godkendt;Opløst - filtrat fra filtrering;;183;Kemisk iltforbrug;;47;mg/l;;5;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/f3fc2e1f-83e4-48a6-b4fd-260fed03974a;09-08-2024;1851527960;;Udløb;Renseanlæg Damhusåen Udløb;32;729478,8360567442;6177669,138315211;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;0,39;mg/l;;0,01;2
Renseanlæg;87C30072-633C-440B-B3A1-1B0F529ACF6F;Renseanlæg Damhusåen;32;720510,9999997506;6171604,999980695;København;Region Hovedstaden;Renseanlæg;Renseanlæg;Øresund;BIOFOS A/S;KØBENHAVNS KOMMUNE;https://puls.miljoeportal.dk/wwtps/87c30072-633c-440b-b3a1-1b0f529acf6f/examination-details/a5bb2e18-3319-4084-8991-8c389eaeb3d7;24-08-2024;1394217234;;Indløb;Renseanlæg Damhusåen Indløb;32;720510,9999997506;6171604,999980695;Mængdeproportional prøve;Afventer kontrol;Opløst - filtrat fra filtrering;;183;Kemisk iltforbrug;;110;mg/l;;5;1
